customer_id,first_name,last_name,phone,credit_limit,is_vip
103,"Carine ",Schmitt,40.32.2555,21000.00,0
112,Jean,King,7025551838,71800.00,1
114,Peter,Ferguson,"03 9520 4555",117300.00,1
119,"Janine ",Labrune,40.67.8555,118200.00,1
121,"Jonas ",Bergulfsen,"07-98 9555",81700.00,0
124,Susan,Nelson,4155551450,210500.00,0
125,"Zbyszek ",Piestrzeniewicz,"(26) 642-7555",0.00,1
128,Roland,Keitel,"+49 69 66 90 2555",59700.00,1
129,Julie,Murphy,6505555787,64600.00,1
131,Kwai,Lee,2125557818,114900.00,0
141,"Diego ",Freyre,"(91) 555 94 44",227600.00,1
144,"Christina ",Berglund,"0921-12 3555",53100.00,1
145,"Jytte ",Petersen,"31 12 3555",83400.00,0
146,"Mary ",Saveley,78.32.5555,123900.00,1
148,Eric,Natividad,"+65 221 7555",103800.00,0
151,Jeff,Young,2125557413,138500.00,1
157,Kelvin,Leong,2155551555,100600.00,1
161,Juri,Hashimoto,6505556809,84600.00,1
166,Wendy,Victorino,"+65 224 1555",97900.00,1
167,Veysel,Oeztan,"+47 2267 3215",96800.00,1
168,Keith,Franco,2035557845,0.00,0
169,"Isabel ","de Castro","(1) 356-5555",0.00,0
171,"Martine ",Rancé,20.16.1555,82900.00,0
172,Marie,Bertrand,"(1) 42.34.2555",84300.00,0
173,Jerry,Tseng,6175555555,43400.00,0
175,Julie,King,2035552570,84300.00,0
177,Mory,Kentary,"+81 06 6342 5555",81200.00,0
181,Michael,Frick,2125551500,76400.00,0
186,Matti,Karttunen,"90-224 8555",96500.00,0
187,Rachel,Ashworth,"(171) 555-1555",136800.00,0
189,Dean,Cassidy,"+353 1862 1555",69400.00,0
198,Leslie,Taylor,6175558428,23000.00,1
201,Elizabeth,Devon,"(171) 555-2282",92700.00,1
202,"Yoshi ",Tamuri,"(604) 555-3392",90300.00,1
204,Miguel,Barajas,6175557555,68700.00,1
205,Julie,Young,6265557265,90700.00,1
206,Brydey,Walker,"+612 9411 1555",0.00,0
209,"Frédérique ",Citeaux,88.60.1555,53800.00,0
211,Mike,Gao,"+852 2251 1555",58600.00,0
216,"Eduardo ",Saavedra,"(93) 203 4555",60300.00,1
219,Mary,Young,3105552373,11000.00,0
223,"Horst ",Kloss,0372-555188,0.00,1
227,Palle,Ibsen,"86 21 3555",120800.00,0
233,"Jean ",Fresnière,"(514) 555-8054",48700.00,0
237,"Alejandra ",Camino,"(91) 745 6555",0.00,0
239,Valarie,Thompson,7605558146,105000.00,1
240,"Helen ",Bennett,"(198) 555-8888",93900.00,1
242,"Annette ",Roulet,61.77.6555,61100.00,1
247,"Renate ",Messner,069-0555984,0.00,1
249,"Paolo ",Accorti,011-4988555,113000.00,1
250,Daniel,"Da Silva","+33 1 46 62 7555",68100.00,1
256,"Daniel ",Tonini,30.59.8555,77900.00,1
259,"Henriette ",Pfalzheim,0221-5554327,120400.00,0
260,"Elizabeth ",Lincoln,"(604) 555-4555",89600.00,0
273,"Peter ",Franken,089-0877555,0.00,0
276,Anna,O'Hara,"02 9936 8555",107800.00,0
278,"Giovanni ",Rovelli,035-640555,119600.00,0
282,Adrian,Huxley,"+61 2 9495 8555",93300.00,0
286,Marta,Hernandez,6175558555,123700.00,1
293,Ed,Harrison,"+41 26 425 50 01",0.00,0
298,Mihael,Holz,0897-034555,141300.00,1
299,Jan,Klaeboe,"+47 2212 1555",95100.00,0
303,Bradley,Schuyler,"+31 20 491 9555",0.00,1
307,Mel,Andersen,030-0074555,0.00,0
311,Pirkko,Koskitalo,981-443655,90500.00,0
314,"Catherine ",Dewey,"(02) 5554 67",79900.00,0
319,Steve,Frick,9145554562,102700.00,0
320,Wing,Huang,5085559555,94500.00,0
321,Julie,Brown,6505551386,105000.00,0
323,Mike,Graham,"+64 9 312 5555",88000.00,0
324,"Ann ",Brown,"(171) 555-0297",77000.00,0
328,William,Brown,2015559350,43000.00,0
333,Ben,Calaghan,61-7-3844-6555,51600.00,1
334,Kalle,Suominen,"+358 9 8045 555",98800.00,0
335,"Philip ",Cramer,0555-09555,0.00,0
339,Francisca,Cervantes,2155554695,81100.00,0
344,Jesus,Fernandez,"+34 913 728 555",59600.00,0
347,Brian,Chandler,2155554369,57700.00,0
348,"Patricia ",McKenna,"2967 555",0.00,0
350,"Laurence ",Lebihan,91.24.4555,65000.00,1
353,"Paul ",Henriot,26.47.1555,81100.00,1
356,Armand,Kuger,"+27 21 550 3555",0.00,1
357,Wales,MacKinlay,64-9-3763555,77700.00,0
361,Karin,Josephs,0251-555259,0.00,0
362,Juri,Yoshido,6175559555,41900.00,1
363,Dorothy,Young,6035558647,114200.00,0
369,"Lino ",Rodriguez,"(1) 354-2555",0.00,0
376,Braun,Urs,0452-076555,0.00,0
379,Allen,Nelson,6175558555,70700.00,1
381,"Pascale ",Cartrain,"(071) 23 67 2555",23500.00,1
382,"Georg ",Pipps,6562-9555,71700.00,0
385,Arnold,Cruz,"+63 2 555 3587",81500.00,0
386,"Maurizio ",Moroni,0522-556555,121400.00,1
398,Akiko,Shimamura,"+81 3 3584 0555",94400.00,1
406,Dominique,Perrier,"(1) 47.55.6555",95000.00,0
409,"Rita ",Müller,0711-555361,0.00,0
412,Sarah,McRoy,"04 499 9555",86800.00,0
415,Michael,Donnermeyer," +49 89 61 08 9555",77000.00,1
424,Maria,Hernandez,2125558493,67500.00,0
443,"Alexander ",Feuer,0342-555176,0.00,0
447,Dan,Lewis,2035554407,49700.00,0
448,Martha,Larsson,"0695-34 6555",116400.00,1
450,Sue,Frick,4085553659,77600.00,0
452,"Roland ",Mendel,7675-3555,45300.00,0
455,Leslie,Murphy,2035559545,95400.00,0
456,Yu,Choi,2125551957,39800.00,0
458,"Martín ",Sommer,"(91) 555 22 82",104600.00,0
459,"Sven ",Ottlieb,0241-039123,0.00,1
462,Violeta,Benitez,5085552555,85800.00,0
465,Carmen,Anton,"+34 913 728555",0.00,0
471,Sean,Clenahan,61-9-3844-6555,60300.00,0
473,Franco,Ricotti,"+39 022515555",34800.00,1
475,Steve,Thompson,3105553722,55400.00,1
477,"Hanna ",Moos,0621-08555,0.00,0
480,"Alexander ",Semenov,"+7 812 293 0521",0.00,0
